ano_premio,certamen,nombre_actor_actriz,genero,pais_origen_nacionalidad,pelicula,idioma_actuacion,carrera_previa_hollywood,fue_nominado_oscar
2017,Globo de Oro,Ryan Gosling,Masculino,Canadá,La La Land,Inglés,Sí,Sí
2018,BAFTA,Frances McDormand,Femenino,Estados Unidos,"Three Billboards Outside Ebbing, Missouri",Inglés,Sí,Sí
2018,BAFTA,Gary Oldman,Masculino,Reino Unido,Darkest Hour,Inglés,Sí,Sí
2018,Festival de Berlín,Ana Brun,Femenino,Paraguay,Las Herederas,Español,No,No
2018,Festival de Berlín,Anthony Bajon,Masculino,Francia,La Prière,Francés,No,No
2018,Festival de Cannes,Marcello Fonte,Masculino,Italia,Dogman,Italiano,No,No
2018,Festival de Cannes,Samal Yeslyamova,Femenino,Kazajistán,Ayka,Ruso,No,No
2018,Festival de Venecia,Olivia Colman,Femenino,Reino Unido,The Favourite,Inglés,No,Sí
2018,Festival de Venecia,Willem Dafoe,Masculino,Estados Unidos,At Eternity's Gate,Inglés,Sí,Sí
2018,Globo de Oro,Frances McDormand,Femenino,Estados Unidos,"Three Billboards Outside Ebbing, Missouri",Inglés,Sí,Sí
2018,Globo de Oro,Gary Oldman,Masculino,Reino Unido,Darkest Hour,Inglés,Sí,Sí
2018,Globo de Oro,James Franco,Masculino,Estados Unidos,The Disaster Artist,Inglés,Sí,No
2018,Globo de Oro,Saoirse Ronan,Femenino,Irlanda,Lady Bird,Inglés,Sí,Sí
2019,BAFTA,Olivia Colman,Femenino,Reino Unido,The Favourite,Inglés,No,Sí
2019,BAFTA,Rami Malek,Masculino,Estados Unidos,Bohemian Rhapsody,Inglés,Sí,Sí
2019,Festival de Berlín,Wang Jingchun,Masculino,China,"So Long, My Son",Chino mandarín,No,No
2019,Festival de Berlín,Yong Mei,Femenino,China,"So Long, My Son",Chino mandarín,No,No
2019,Festival de Cannes,Antonio Banderas,Masculino,España,Dolor y gloria,Español,Sí,Sí
2019,Festival de Cannes,Emily Beecham,Femenino,Reino Unido,Little Joe,Inglés,No,No
2019,Festival de Venecia,Ariane Ascaride,Femenino,Francia,Gloria Mundi,Francés,No,No
2019,Festival de Venecia,Luca Marinelli,Masculino,Italia,Martin Eden,Italiano,No,No
2019,Globo de Oro,Christian Bale,Masculino,Reino Unido,Vice,Inglés,Sí,Sí
2019,Globo de Oro,Glenn Close,Femenino,Estados Unidos,The Wife,Inglés,Sí,Sí
2019,Globo de Oro,Olivia Colman,Femenino,Reino Unido,The Favourite,Inglés,No,Sí
2019,Globo de Oro,Rami Malek,Masculino,Estados Unidos,Bohemian Rhapsody,Inglés,Sí,Sí
2020,BAFTA,Joaquin Phoenix,Masculino,Estados Unidos,Joker,Inglés,Sí,Sí
2020,BAFTA,Renée Zellweger,Femenino,Estados Unidos,Judy,Inglés,Sí,Sí
2020,Festival de Berlín,Elio Germano,Masculino,Italia,Volevo nascondermi,Italiano,No,No
2020,Festival de Berlín,Paula Beer,Femenino,Alemania,Undine,Alemán,No,No
2020,Festival de Venecia,Pierfrancesco Favino,Masculino,Italia,Padrenostro,Italiano,No,No
2020,Festival de Venecia,Vanessa Kirby,Femenino,Reino Unido,Pieces of a Woman,Inglés,Sí,Sí
2020,Globo de Oro,Awkwafina,Femenino,Estados Unidos,The Farewell,Chino mandarín / Inglés,Sí,No
2020,Globo de Oro,Joaquin Phoenix,Masculino,Estados Unidos,Joker,Inglés,Sí,Sí
2020,Globo de Oro,Renée Zellweger,Femenino,Estados Unidos,Judy,Inglés,Sí,Sí
2020,Globo de Oro,Taron Egerton,Masculino,Reino Unido,Rocketman,Inglés,No,No
2021,BAFTA,Anthony Hopkins,Masculino,Reino Unido,The Father,Inglés,Sí,Sí
2021,BAFTA,Frances McDormand,Femenino,Estados Unidos,Nomadland,Inglés,Sí,Sí
2021,Festival de Berlín,Maren Eggert,Femenino,Alemania,Ich bin dein Mensch,Alemán,No,No
2021,Festival de Cannes,Caleb Landry Jones,Masculino,Estados Unidos,Nitram,Inglés,Sí,No
2021,Festival de Cannes,Renate Reinsve,Femenino,Noruega,Verdens verste menneske,Noruego,No,No
2021,Festival de Venecia,John Arcilla,Masculino,Filipinas,On the Job: The Missing 8,Tagalo,No,No
2021,Festival de Venecia,Penélope Cruz,Femenino,España,Madres paralelas,Español,Sí,Sí
2021,Globo de Oro,Andra Day,Femenino,Estados Unidos,The United States vs. Billie Holiday,Inglés,No,Sí
2021,Globo de Oro,Chadwick Boseman,Masculino,Estados Unidos,Ma Rainey's Black Bottom,Inglés,Sí,Sí
2021,Globo de Oro,Rosamund Pike,Femenino,Reino Unido,I Care a Lot,Inglés,Sí,No
2021,Globo de Oro,Sacha Baron Cohen,Masculino,Reino Unido,Borat Subsequent Moviefilm,Inglés,Sí,No
2022,BAFTA,Joanna Scanlan,Femenino,Reino Unido,After Love,Inglés / Francés,No,No
2022,BAFTA,Will Smith,Masculino,Estados Unidos,King Richard,Inglés,Sí,Sí
2022,Festival de Berlín,Meltem Kaptan,Femenino,Alemania,Rabiye Kurnaz gegen George W. Bush,Alemán,No,No
2022,Festival de Cannes,Song Kang-ho,Masculino,Corea del Sur,Broker,Coreano,No,No
2022,Festival de Cannes,Zar Amir Ebrahimi,Femenino,Irán,Holy Spider,Persa,No,No
2022,Festival de Venecia,Cate Blanchett,Femenino,Australia,TÁR,Inglés,Sí,Sí
2022,Festival de Venecia,Colin Farrell,Masculino,Irlanda,The Banshees of Inisherin,Inglés,Sí,Sí
2022,Globo de Oro,Andrew Garfield,Masculino,Reino Unido,"tick, tick... BOOM!",Inglés,Sí,Sí
2022,Globo de Oro,Nicole Kidman,Femenino,Australia,Being the Ricardos,Inglés,Sí,Sí
2022,Globo de Oro,Rachel Zegler,Femenino,Estados Unidos,West Side Story,Inglés,No,No
2022,Globo de Oro,Will Smith,Masculino,Estados Unidos,King Richard,Inglés,Sí,Sí
2023,BAFTA,Austin Butler,Masculino,Estados Unidos,Elvis,Inglés,Sí,Sí
2023,BAFTA,Cate Blanchett,Femenino,Australia,TÁR,Inglés,Sí,Sí
2023,Festival de Berlín,Sofía Otero,Femenino,España,20.000 especies de abejas,Español,No,No
2023,Festival de Cannes,Kōji Yakusho,Masculino,Japón,Perfect Days,Japonés,No,No
2023,Festival de Cannes,Merve Dizdar,Femenino,Turquía,Kuru Otlar Üstüne,Turco,No,No
2023,Festival de Venecia,Cailee Spaeny,Femenino,Estados Unidos,Priscilla,Inglés,Sí,No
2023,Festival de Venecia,Peter Sarsgaard,Masculino,Estados Unidos,Memory,Inglés,Sí,No
2023,Globo de Oro,Austin Butler,Masculino,Estados Unidos,Elvis,Inglés,Sí,Sí
2023,Globo de Oro,Cate Blanchett,Femenino,Australia,TÁR,Inglés,Sí,Sí
2023,Globo de Oro,Colin Farrell,Masculino,Irlanda,The Banshees of Inisherin,Inglés,Sí,Sí
2023,Globo de Oro,Michelle Yeoh,Femenino,Malasia,Everything Everywhere All at Once,Inglés / Chino,Sí,Sí
2024,BAFTA,Cillian Murphy,Masculino,Irlanda,Oppenheimer,Inglés,Sí,Sí
2024,BAFTA,Emma Stone,Femenino,Estados Unidos,Poor Things,Inglés,Sí,Sí
2024,Festival de Berlín,Sebastian Stan,Masculino,Estados Unidos,A Different Man,Inglés,Sí,No
2024,Festival de Cannes,Adriana Paz,Femenino,México,Emilia Pérez,Español,No,No
2024,Festival de Cannes,Jesse Plemons,Masculino,Estados Unidos,Kinds of Kindness,Inglés,Sí,No
2024,Festival de Cannes,Karla Sofía Gascón,Femenino,España,Emilia Pérez,Español,No,Sí
2024,Festival de Cannes,Selena Gomez,Femenino,Estados Unidos,Emilia Pérez,Español,Sí,No
2024,Festival de Cannes,Zoe Saldaña,Femenino,Estados Unidos,Emilia Pérez,Español,Sí,No
2024,Festival de Venecia,Nicole Kidman,Femenino,Australia,Babygirl,Inglés,Sí,No
2024,Festival de Venecia,Vincent Lindon,Masculino,Francia,Jouer avec le feu,Francés,No,No
2024,Globo de Oro,Cillian Murphy,Masculino,Irlanda,Oppenheimer,Inglés,Sí,Sí
2024,Globo de Oro,Emma Stone,Femenino,Estados Unidos,Poor Things,Inglés,Sí,Sí
2024,Globo de Oro,Lily Gladstone,Femenino,Estados Unidos,Killers of the Flower Moon,Inglés,No,Sí
2024,Globo de Oro,Paul Giamatti,Masculino,Estados Unidos,The Holdovers,Inglés,Sí,Sí
2025,BAFTA,Adrien  Brody,Masculino,Estados Unidos,The Brutalist,Inglés/Húngaro,Sí,Sí
2025,BAFTA,Mikey Madison,Femenino,Estados Unidos,Anora,Inglés/Ruso,Sí,Sí
2025,Festival de Berlín,Hiam Abbass,Femenino,Palestina,L'attachement,Francés,No,No
2025,Festival de Cannes,Nadia Melliti,Femenino,Francia,La petite dernière,Francés/Árabe,No,No
2025,Festival de Cannes,Wagner Moura,Masculino,Brasil,O Agente Secreto,Portugués,Sí,Sí
2025,Festival de Venecia,Toni Servillo,Masculino,Italia,La grazia,Italiano,No,No
2025,Festival de Venecia,Xin Zhilei,Femenino,China,The Sun Rises on Us All,Chino mandarín ,No,No
2025,Globo de Oro,Adrien  Brody,Masculino,Estados Unidos,The Brutalist,Inglés/Húngaro,Sí,SÍ
2025,Globo de Oro,Demi Moore,Femenino,Estados Unidos,La sustancia,Inglés,Sí,Sí
2025,Globo de Oro,Fernada Torres,Femenino,Brasil,Ainda Estou Aquí,Portugués,No,Sí
2025,Globo de Oro,Sebastian Stan,Masculino,Estados Unidos/ Rumania,A  Different Man,Inglés,Sí,No
2026,BAFTA,Jessie Buckley ,Femenino,Irlanda,Hamnet,Inglés,Sí,Sí
2026,BAFTA,Robert Aramayo,Masculino,Reino Unido,I Swear,Inglés,SÍ,No
2026,Festival de Berlín,Franz Rogowski,Masculino,Alemania,Luz,Alemán,No,No
2026,Festival de Cannes,Emmanuel Macchia,Masculino,Bélgica,Coward,Francés,No,
2026,Festival de Cannes,Tao Okamoto ,Femenino,Japón,All of a Sudden,Francés/Japonés,Sí,
2026,Festival de Cannes,Valentin Campagne,Masculino,Francia,Coward,Francés,No,
2026,Festival de Cannes,Virginie Efira,Femenino,Francia/ Bélgica,All of a Sudden,Francés/Japonés,No,
2026,Festival de Venecia,John Malkovich,Masculino,Estados Unidos,Wild Horse Nine,Inglés/ Español,Sí,
2026,Festival de Venecia,Mathilde Arcel,Femenino,Dinamarca,Woman Unknown,Danés,No,
2026,Globo de Oro,Jessie Buckley ,Femenino,Irlanda,Hamnet,Inglés,Sí,Sí
2026,Globo de Oro,Rose Byrne,Femenino,Australia,If I Had Legs I'd Kick You,Inglés,Sí,Sí
2026,Globo de Oro,Timothée Chalamet ,Masculino,Estados Unidos/Francia,Martu Supreme,Inglés,Sí,SÍ
2026,Globo de Oro,Wagner Moura ,Masculino,Brasil,O Agente Secreto,Portugués,Sí,Sí
